,학정번호,강의명/교수명,별점,final_성적,final_교수,final_로드,final_강의력,족보여부,강의자료질
63,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,4.0,1.0,0.5,0.0,0.5,0.0,0.5
64,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,5.0,1.0,0.3,0.0,0.15,0.0,0.5
65,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,4.0,1.0,0.5,0.0,0.5,0.0,0.5
66,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,4.0,1.0,0.5,0.0,0.5,0.0,0.5
67,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,4.0,1.0,0.5,0.0,0.5,0.0,0.5
68,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,3.0,1.0,0.5,0.7,0.5,0.0,0.5
69,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,3.0,1.0,0.5,0.7,0.5,0.0,0.5
70,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,4.0,0.3,0.5,0.0,0.5,0.0,0.5
71,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,4.0,1.0,0.5,0.7,0.5,0.0,0.5
72,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,1.0,0.3,0.5,0.0,0.5,0.0,0.5
73,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,1.0,1.0,1.0,0.0,0.85,0.0,0.5
74,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,5.0,1.0,0.5,0.7,0.5,0.0,0.5
75,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,5.0,0.3,0.5,0.0,0.5,0.0,0.5
76,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,5.0,1.0,0.5,0.7,0.5,0.0,0.5
77,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,4.0,1.0,0.5,0.0,0.5,0.0,0.5
78,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,3.0,1.0,1.0,0.7,0.85,0.0,0.5
79,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,3.0,1.0,0.5,0.7,0.5,0.0,0.5
80,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,4.0,1.0,0.5,0.7,0.5,0.0,0.5
